[2019-07-19 00:26:34] [INFO] (['NI1906'], '5m', 0, -72.60000000000001, ' time:', 23.355748891830444)
[2019-07-19 00:26:35] [INFO] (['MA1911'], '5m', 1, 6936.800000000001, ' time:', 23.692569971084595)
[2019-07-19 00:26:35] [INFO] (['OI1905'], '5m', 0, -8.8, ' time:', 24.053363800048828)
[2019-07-19 00:26:36] [INFO] (['M1909'], '5m', 3, 178116.3, ' time:', 25.54750680923462)
[2019-07-19 00:26:37] [INFO] (['OI2001'], '5m', 1, -12314.8, ' time:', 25.7094144821167)
[2019-07-19 00:26:37] [INFO] (['PB1907'], '5m', 0, -17.71549955246883, ' time:', 26.289082765579224)
[2019-07-19 00:26:38] [INFO] (['MA1909'], '5m', 3, -61985.39999999998, ' time:', 27.31949234008789)
[2019-07-19 00:26:40] [INFO] (['OI1909'], '5m', 3, -23036.399999999998, ' time:', 28.571775436401367)
[2019-07-19 00:26:42] [INFO] (['PP1909'], '5m', 3, 53565.544491985755, ' time:', 30.607609748840332)
[2019-07-19 00:26:42] [INFO] (['RB2001'], '5m', 6, -34886.97757961403, ' time:', 30.96640419960022)
[2019-07-19 00:26:42] [INFO] (['RB1910'], '5m', 6, -85012.91476986444, ' time:', 31.051355123519897)
[2019-07-19 00:26:43] [INFO] (['SR1905'], '5m', 0, -52.800000000000004, ' time:', 31.922856092453003)
[2019-07-19 00:26:43] [INFO] (['SN1909'], '5m', 1, 180.59999999999997, ' time:', 32.20069694519043)
[2019-07-19 00:26:43] [INFO] (['SF1909'], '5m', 2, -8796.000000000004, ' time:', 32.40458011627197)
[2019-07-19 00:26:45] [INFO] (['SM1909'], '5m', 3, -7459.199999999995, ' time:', 33.58791637420654)
[2019-07-19 00:26:45] [INFO] (['SR2001'], '5m', 2, -7845.199999999998, ' time:', 34.351479053497314)
[2019-07-19 00:26:47] [INFO] (['Y2001'], '5m', 1, -9273.5, ' time:', 35.81765389442444)
[2019-07-19 00:26:47] [INFO] (['ZC1907'], '5m', 2, -1866.0000000000339, ' time:', 36.26139974594116)
[2019-07-19 00:26:48] [INFO] (['V1909'], '5m', 1, 13698.8, ' time:', 37.07593369483948)
[2019-07-19 00:26:49] [INFO] (['Y1909'], '5m', 2, -19875.0, ' time:', 37.61813044548035)
[2019-07-19 00:26:49] [INFO] (['ZN1906'], '5m', 2, 22101.0, ' time:', 38.25176811218262)
[2019-07-19 00:26:50] [INFO] (['ZN1907'], '5m', 1, 17510.4, ' time:', 38.818442583084106)
[2019-07-19 00:26:50] [INFO] (['ZN1908'], '5m', 2, -48165.0, ' time:', 39.00834679603577)
[2019-07-19 00:26:50] [INFO] (['ZC1909'], '5m', 4, 23846.400000000045, ' time:', 39.547024726867676)
[2019-07-19 00:26:51] [INFO] (['SR1909'], '5m', 3, 116968.60000000003, ' time:', 39.9071946144104)
[2019-07-19 00:32:42] [INFO] (['AL1905'], '5m', 0, -29.700000000000003, ' time:', 2.17940092086792)
[2019-07-19 00:32:44] [INFO] (['AG1906'], '5m', 1, 163.25205572813502, ' time:', 3.6355671882629395)
[2019-07-19 00:32:44] [INFO] (['A1909'], '5m', 2, 100909.20000000001, ' time:', 4.3511574268341064)
[2019-07-19 00:32:45] [INFO] (['AG1912'], '5m', 3, -4745.185189258918, ' time:', 4.445116281509399)
[2019-07-19 00:32:45] [INFO] (['AP1905'], '5m', 0, -110.00000000000001, ' time:', 4.6240010261535645)
[2019-07-19 00:32:46] [INFO] (['AU1906'], '5m', 1, 20390.000000000113, ' time:', 5.575456142425537)
